artist,rank,song,year
The Sensations,8,Let Me In,1962
Chubby Checker,9,The Twist,1962
The Shirelles,10,Soldier Boy,1962
Bruce Channel,11,Hey! Baby,1962
Dion,12,The Wanderer,1962
Gene Chandler,13,Duke of Earl,1962
Freddy Cannon,14,Palisades Park,1962
Neil Sedaka,15,Breaking Up Is Hard to Do,1962
Claude King,16,Wolverton Mountain,1962
Chubby Checker,17,Slow Twistin',1962
Johnny Tillotson,18,It Keeps Right On a-Hurtin',1962
Mary Wells,19,The One Who Really Loves You,1962
Elvis Presley,20,Good Luck Charm,1962
Kenny Ball,21,Midnight in Moscow,1962
Tommy Roe,22,Sheila,1962
Sam Cooke,23,Twistin' the Night Away,1962
The Orlons,24,"""The Wah-Watusi""",1962
Joey Dee and the Starliters,25,Peppermint Twist,1962
Brenda Lee,26,Break It to Me Gently,1962
The Marvelettes,27,Playboy,1962
Nat King Cole,28,Ramblin' Rose,1962
Brian Hyland,29,Sealed with a Kiss,1962
Jay and the Americans,30,She Cried,1962
Connie Francis,31,Don't Break the Heart That Loves You,1962
Gary U.S. Bonds,32,"""Dear Lady Twist""",1962
Sue Thompson,33,Norman,1962
Ketty Lester,34,Love Letters,1962
Claudine Clark,35,"""Party Lights""",1962
The Highwaymen,36,Cotton Fields,1962
Bent Fabric,37,Alley Cat,1962
The Isley Brothers,38,Twist and Shout,1962
Richard Chamberlain,39,Theme from Dr. Kildare (Three Stars Will Shine Tonight),1962
Ace Cannon,40,"""Tuff""",1962
Clyde McPhatter,41,"""Lover Please""",1962
Barbara George,42,I Know (You Don't Love Me No More),1962
Ricky Nelson,43,Young World,1962
The Shirelles,44,Baby It's You,1962
Pat Boone,45,Speedy Gonzales,1962
Burl Ives,46,A Little Bitty Tear,1962
The Everly Brothers,47,Crying in the Rain,1962
Emilio Pericoli,48,Al di là,1962
Ernie Maresca,49,Shout! Shout! (Knock Yourself Out),1962
Don and Juan,50,What's Your Name,1962
The Corsairs,51,"""Smoky Places""",1962
Sam Cooke,52,Having a Party,1962
Booker T. &amp; the M.G.'s,53,Green Onions,1962
Ray Charles,54,You Don't Know Me,1962
The Four Seasons,55,Sherry,1962
Joanie Sommers,56,"""Johnny Get Angry""",1962
Elvis Presley,57,Can't Help Falling in Love,1962
Joey Dee and the Starliters,58,Shout,1962
"Dave ""Baby"" Cortez",59,Rinky Dink,1962
Henry Mancini,60,Moon River,1962
Ray Stevens,61,Ahab the Arab,1962
Bobby Darin,62,Things,1962
Gene Pitney,63,(The Man Who Shot) Liberty Valance,1962
The Duprees,64,You Belong to Me,1962
Roy Orbison,65,Dream Baby (How Long Must I Dream),1962
Joe Henderson,66,Snap Your Fingers,1962
Dion,67,Lovers Who Wander,1962
Chris Montez,68,Let's Dance,1962
Johnny Crawford,69,"""Cindy's Birthday""",1962
Mary Wells,70,You Beat Me to the Punch,1962
Barbara Lynn,71,You'll Lose a Good Thing,1962
The Crystals,72,Uptown,1962
Brenda Lee,73,Everybody Loves Me But You,1962
Dickey Lee,74,"""Patches""",1962
Jimmy Clanton,75,Venus in Blue Jeans,1962
Paul Anka,76,"""Love Me Warm and Tender""",1962
Rick Nelson,77,Teen Age Idol,1962
Patsy Cline,78,She's Got You,1962
Larry Finnegan,79,Dear One,1962
James Darren,80,"""Her Royal Majesty""",1962
Walter Brennan,81,Old Rivers,1962
Burl Ives,82,"""Funny Way of Laughin'""",1962
Billy Vaughn,83,A Swingin' Safari,1962
Dick and Dee Dee,84,"""Tell Me""",1962
Jimmy Dean,85,PT-109,1962
Dion,86,Little Diane,1962
Billy Joe and the Checkmates,87,"""Percolator (Twist)""",1962
Gary U.S. Bonds,88,"""Twist, Twist, Señora""",1962
Jimmy Soul,89,"""Twistin' Matilda""",1962
Dee Dee Sharp,90,"""Gravy (For My Mashed Potatoes)""",1962
