rank,song,artist,year,nationality,country
87,Just to See Her,Smokey Robinson,1987, U.S.,US
88,Who Will You Run To,Heart,1987, U.S.,US
89,Respect Yourself,Bruce Willis,1987, West Germany,Germany
90,Cross My Broken Heart,The Jets,1987, United States,US
91,"""Victory""",Kool &amp; the Gang,1987, U.S.,US
92,Don't Get Me Wrong,The Pretenders,1987, United States,US
93,Doing It All for My Baby,Huey Lewis and the News,1987, U.S.,US
94,Right on Track,Breakfast Club,1987, United States,US
95,Ballerina Girl,Lionel Richie,1987, U.S.,US
96,"""Meet Me Half Way""",Kenny Loggins,1987, U.S.,US
97,I've Been in Love Before,Cutting Crew,1987, UK,UK
98,(You Gotta) Fight for Your Right (To Party!),Beastie Boys,1987, U.S.,US
99,Funkytown,Pseudo Echo,1987, Australia,Australia
100,Love You Down,Ready for the World,1987, USA,US
1,Faith,George Michael,1988, England,UK
2,Need You Tonight,INXS,1988, Australia,Australia
3,Got My Mind Set on You,George Harrison,1988, England,UK
4,Never Gonna Give You Up,Rick Astley,1988, England,UK
5,Sweet Child o' Mine,Guns N' Roses,1988, U.S.,US
6,So Emotional,Whitney Houston,1988, U.S.,US
7,Heaven Is a Place on Earth,Belinda Carlisle,1988, U.S.,US
8,Could've Been,Tiffany,1988, U.S.,US
9,Hands to Heaven,Breathe,1988, England,UK
10,Roll with It,Steve Winwood,1988, United Kingdom,UK
11,One More Try,George Michael,1988, England,UK
12,Wishing Well,Terence Trent D'Arby,1988, New York,US
13,Anything for You,Gloria Estefan and Miami Sound Machine,1988, U.S.,US
14,The Flame,Cheap Trick,1988, United States,US
15,"Get Outta My Dreams, Get into My Car",Billy Ocean,1988, London,UK
16,Seasons Change,ExposÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂ©,1988, United States,US
17,Is This Love,Whitesnake,1988, England,UK
18,"Wild, Wild West",The Escape Club,1988, England,UK
19,Pour Some Sugar on Me,Def Leppard,1988, England,UK
20,I'll Always Love You,Taylor Dayne,1988, New York,US
21,Man in the Mirror,Michael Jackson,1988, U.S.,US
22,Shake Your Love,Debbie Gibson,1988, U.S.,US
23,Simply Irresistible,Robert Palmer,1988, England,UK
24,Hold On to the Nights,Richard Marx,1988, U.S.,US
25,Hungry Eyes,Eric Carmen,1988, U.S.,US
26,Shattered Dreams,Johnny Hates Jazz,1988, England,UK
27,Father Figure,George Michael,1988, England,UK
28,Naughty Girls (Need Love Too),Samantha Fox,1988, England,UK
29,A Groovy Kind of Love,Phil Collins,1988, United Kingdom,UK
30,Love Bites,Def Leppard,1988, England,UK
31,Endless Summer Nights,Richard Marx,1988, U.S.,US
32,Foolish Beat,Debbie Gibson,1988, U.S.,US
33,Where Do Broken Hearts Go,Whitney Houston,1988, U.S.,US
34,Angel,Aerosmith,1988, United States,US
35,A Hazy Shade of Winter,The Bangles,1988, US,US
36,The Way You Make Me Feel,Michael Jackson,1988, U.S.,US
37,"Don't Worry, Be Happy",Bobby McFerrin,1988, U.S.,US
38,Make Me Lose Control,Eric Carmen,1988, U.S.,US
39,Red Red Wine,UB40,1988, England,UK
40,She's Like the Wind,Patrick Swayze,1988, U.S.,US
41,Bad Medicine,Bon Jovi,1988, U.S.,US
42,Kokomo,The Beach Boys,1988, U.S.,US
43,I Don't Wanna Go on with You Like That,Elton John,1988, England,UK
44,Together Forever,Rick Astley,1988, England,UK
45,Monkey,George Michael,1988, England,UK
46,Devil Inside,INXS,1988, Australia,Australia
47,Should've Known Better,Richard Marx,1988, U.S.,US
48,I Don't Wanna Live Without Your Love,Chicago,1988, United States,US
49,The Loco-Motion,Kylie Minogue,1988, Australia,Australia
50,What Have I Done to Deserve This?,Pet Shop Boys,1988, England,UK
51,Make It Real,The Jets,1988, United States,US
52,What's On Your Mind (Pure Energy),Information Society,1988, US,US
53,Tell It to My Heart,Taylor Dayne,1988, New York,US
54,Out of the Blue,Debbie Gibson,1988, U.S.,US
55,Don't You Want Me,Jody Watley,1988, United States,US
56,Desire,U2,1988, Ireland,Ireland
57,I Get Weak,Belinda Carlisle,1988, U.S.,US
58,Sign Your Name,Terence Trent D'Arby,1988, New York,US
59,I Want to Be Your Man,Roger Troutman,1988, U.S.,US
60,Girlfriend,Pebbles,1988, U.S.,US
61,Dirty Diana,Michael Jackson,1988, U.S.,US
62,2/3/2001,Gloria Estefan and Miami Sound Machine,1988, U.S.,US
63,Mercedes Boy,Pebbles,1988, U.S.,US
64,Perfect World,Huey Lewis and the News,1988, U.S.,US
65,New Sensation,INXS,1988, Australia,Australia
66,Catch Me (I'm Falling),Pretty Poison,1988, Pennsylvania,US
67,If It Isn't Love,New Edition,1988, United States,US
68,Rocket 2 U,The Jets,1988, United States,US
69,One Good Woman,Peter Cetera,1988, United States,US
70,Don't Be Cruel,Cheap Trick,1988, United States,US
71,Candle in the Wind,Elton John,1988, England,UK
72,Everything Your Heart Desires,Daryl Hall &amp; John Oates,1988, United States,US
73,Say You Will,Foreigner,1988, U.S.,US
74,I Want Her,Keith Sweat,1988, New York,US
75,Pink Cadillac,Natalie Cole,1988, Illinois,US
76,Fast Car,Tracy Chapman,1988, U.S.,US
77,Electric Blue,Icehouse,1988, Australia,Australia
78,The Valley Road,Bruce Hornsby and the Range,1988, U.S.,US
79,Don't Be Cruel,Bobby Brown,1988, U.S.,US
80,Always on My Mind,Pet Shop Boys,1988, England,UK
81,Piano in the Dark,Brenda Russell,1988, U.S.,US
82,When It's Love,Van Halen,1988, United States,US
83,Don't Shed a Tear,Paul Carrack,1988, England,UK
84,We'll Be Together,Sting,1988, England,UK
85,I Hate Myself for Loving You,Joan Jett and the Blackhearts,1988, U.S,US
86,I Don't Want to Live Without You,Foreigner,1988, U.S.,US
87,Nite and Day,Al B. Sure!,1988, U.S.,US
88,Don't You Know What the Night Can Do?,Steve Winwood,1988, United Kingdom,UK
89,One Moment in Time,Whitney Houston,1988, U.S.,US
90,Can't Stay Away from You,Gloria Estefan and Miami Sound Machine,1988, U.S.,US
91,Kissing a Fool,George Michael,1988, England,UK
92,Cherry Bomb,John Cougar Mellencamp,1988, U.S.,US
93,I Still Believe,Brenda K. Starr,1988, U.S.,US
94,I Found Someone,Cher,1988, U.S.,US
95,Never Tear Us Apart,INXS,1988, Australia,Australia
96,Valerie,Steve Winwood,1988, United Kingdom,UK
97,Just Like Paradise,David Lee Roth,1988, United States,US
98,Nothin' but a Good Time,Poison,1988, U.S.,US
99,Wait,White Lion,1988, United States,US
100,Prove Your Love,Taylor Dayne,1988, New York,US
1,Look Away,Chicago,1989, U.S.,US
2,My Prerogative,Bobby Brown,1989, U.S.,US
3,Every Rose Has Its Thorn,Poison,1989, U.S.,US
4,Straight Up,Paula Abdul,1989, U.S.,US
5,Miss You Much,Janet Jackson,1989, U.S.,US
6,Cold Hearted,Paula Abdul,1989, U.S.,US
7,Wind Beneath My Wings,Bette Midler,1989, Territory of Hawaii,US
8,Girl You Know It's True,Milli Vanilli,1989, West Germany,Germany
9,"Baby, I Love Your Way/Freebird Medley",Will to Power,1989, U.S.,US
10,Giving You the Best That I Got,Anita Baker,1989, U.S.,US
11,Right Here Waiting,Richard Marx,1989, U.S.,US
12,Waiting For a Star to Fall,Boy Meets Girl,1989, United States,US
13,Lost in Your Eyes,Debbie Gibson,1989, U.S.,US
14,Don't Wanna Lose You,Gloria Estefan,1989, U.S.,US
15,Heaven,Warrant,1989, United States,US
16,Girl I'm Gonna Miss You,Milli Vanilli,1989, West Germany,Germany
17,The Look,Roxette,1989, Sweden,Sweden
18,She Drives Me Crazy,Fine Young Cannibals,1989, England,UK
19,On Our Own,Bobby Brown,1989, U.S.,US
20,Two Hearts,Phil Collins,1989, United Kingdom,UK
21,Blame It on the Rain,Milli Vanilli,1989, West Germany,Germany
22,Listen to Your Heart,Roxette,1989, Sweden,Sweden
23,I'll Be There for You,Bon Jovi,1989, U.S.,US
24,If You Don't Know Me by Now,Simply Red,1989, England,UK
25,Like a Prayer,Madonna,1989, U.S.,US
26,I'll Be Loving You (Forever),New Kids on the Block,1989, U.S.,US
27,How Can I Fall?,Breathe,1989, England,UK
28,Baby Don't Forget My Number,Milli Vanilli,1989, West Germany,Germany
29,Toy Soldiers,Martika,1989, U.S.,US
30,Forever Your Girl,Paula Abdul,1989, U.S.,US
31,The Living Years,Mike + The Mechanics,1989, United Kingdom,UK
32,Eternal Flame,The Bangles,1989, US,US
33,Wild Thing,Tone LÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂc,1989, U.S.,US
34,When I See You Smile,Bad English,1989, U.S.,US
35,If I Could Turn Back Time,Cher,1989, U.S.,US
36,Buffalo Stance,Neneh Cherry,1989, Sweden,Sweden
37,When I'm with You,Sheriff,1989, Canada,Canada
38,Don't Rush Me,Taylor Dayne,1989, New York,US
39,Born to Be My Baby,Bon Jovi,1989, U.S.,US
40,Good Thing,Fine Young Cannibals,1989, England,UK
41,The Lover in Me,Sheena Easton,1989, Scotland,UK
42,Bust a Move,Young MC,1989, United States,US
43,"Once Bitten, Twice Shy",Great White,1989, U.S.,US
44,Batdance,Prince,1989, U.S.,US
45,Rock On,Michael Damian,1989, California,US
46,Real Love,Jody Watley,1989, United States,US
47,Love Shack,The B-52s,1989, United States,US
48,Every Little Step,Bobby Brown,1989, U.S.,US
49,Hangin' Tough,New Kids on the Block,1989, U.S.,US
50,My Heart Can't Tell You No,Rod Stewart,1989, England,UK
51,So Alive,Love and Rockets,1989, England,UK
52,You Got It (The Right Stuff),New Kids on the Block,1989, U.S.,US
53,Armageddon It,Def Leppard,1989, England,UK
54,Satisfied,Richard Marx,1989, U.S.,US
55,Express Yourself,Madonna,1989, U.S.,US
56,I Like It,Dino,1989, US,US
57,Soldier of Love,Donny Osmond,1989, U.S.,US
58,Sowing the Seeds of Love,Tears for Fears,1989, England,UK
59,Cherish,Madonna,1989, U.S.,US
60,When the Children Cry,White Lion,1989, United States,US
61,18 and Life,Skid Row,1989, United States,US
62,I Don't Want Your Love,Duran Duran,1989, England,UK
63,Second Chance,.38 Special,1989,United States,US
64,The Way You Love Me,Karyn White,1989, U.S.,US
65,Funky Cold Medina,Tone LÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂc,1989, U.S.,US
66,In Your Room,The Bangles,1989, US,US
67,Miss You Like Crazy,Natalie Cole,1989, Illinois,US
68,Lovesong,The Cure,1989, England,UK
69,Secret Rendezvous,Karyn White,1989, U.S.,US
70,Angel Eyes,The Jeff Healey Band,1989, Canada,Canada
71,Patience,Guns N' Roses,1989, U.S.,US
72,Walk on Water,Eddie Money,1989, California,US
73,Cover Girl,New Kids on the Block,1989, U.S.,US
74,Welcome to the Jungle,Guns N' Roses,1989, U.S.,US
75,Shower Me With Your Love,Surface,1989,New Jersey Connecticut United States,US
76,Stand,R.E.M.,1989, United States,US
77,"""Close My Eyes Forever""",Lita Ford,1989, U.S.,US
78,All This Time,Tiffany,1989, U.S.,US
79,After All,Cher,1989, U.S.,US
80,Roni,Bobby Brown,1989, U.S.,US
81,Love in an Elevator,Aerosmith,1989, United States,US
82,Lay Your Hands on Me,Bon Jovi,1989, U.S.,US
83,The Promise,When in Rome,1989, England,UK
84,What I Am,Edie Brickell &amp; New Bohemians,1989, United States,US
85,"""I Remember Holding You""",Boys Club,1989, U.S.,US
86,Paradise City,Guns N' Roses,1989, U.S.,US
87,I Wanna Have Some Fun,Samantha Fox,1989, England,UK
88,She Wants to Dance with Me,Rick Astley,1989, England,UK
89,Dreamin',Vanessa Williams,1989, U.S.,US
90,It's No Crime,Babyface,1989, U.S.,US
91,Poison,Alice Cooper,1989, U.S.,US
92,This Time I Know It's for Real,Donna Summer,1989, U.S.,US
93,Smooth Criminal,Michael Jackson,1989, U.S.,US
94,"""Heaven Help Me""",Deon Estus,1989, United States,US
95,Rock Wit'cha,Bobby Brown,1989, U.S.,US
96,Thinking of You,Sa-Fire,1989, U.S.,US
97,What You Don't Know,ExposÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂ©,1989, United States,US
98,Surrender To Me,Ann Wilson,1989, United States,US
99,The End of the Innocence,Don Henley,1989, U.S.,US
100,Keep on Movin',Soul II Soul,1989, United Kingdom,UK
1,Hold On,Wilson Phillips,1990, U.S.,US
2,It Must Have Been Love,Roxette,1990, Sweden,Sweden
3,Nothing Compares 2 U,SinÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂ©ad O'Connor,1990, Ireland,Ireland
4,Poison,Bell Biv DeVoe,1990, United States,US
5,Vogue,Madonna,1990, U.S.,US
6,Vision of Love,Mariah Carey,1990, U.S.,US
7,Another Day in Paradise,Phil Collins,1990, United Kingdom,UK
8,Hold On,En Vogue,1990, U.S.,US
9,Cradle of Love,Billy Idol,1990, England,UK
10,Blaze of Glory,Jon Bon Jovi,1990, U.S.,US
11,Do Me!,Bell Biv DeVoe,1990, United States,US
12,How Am I Supposed to Live Without You,Michael Bolton,1990, U.S.,US
13,Pump Up the Jam,Technotronic,1990, Belgium,Belgium
14,Opposites Attract,Paula Abdul,1990, U.S.,US
15,Escapade,Janet Jackson,1990, U.S.,US
16,All I Wanna Do Is Make Love to You,Heart,1990, U.S.,US
17,Close to You,Maxi Priest,1990, England[1],UK
18,Black Velvet,Alannah Myles,1990, Canada,Canada
19,Release Me,Wilson Phillips,1990, U.S.,US
20,Don't Know Much,Linda Ronstadt,1990, U.S.,US
21,All Around the World,Lisa Stansfield,1990, England,UK
22,I Wanna Be Rich,Calloway,1990, United States,US
23,Rub You the Right Way,Johnny Gill,1990, U.S.,US
24,She Ain't Worth It,Glenn Medeiros,1990, United States,US
25,If Wishes Came True,Sweet Sensation,1990, New York,US
26,The Power,Snap!,1990, Germany,Germany
27,(Can't Live Without Your) Love and Affection,Nelson,1990, United States,US
28,Love Will Lead You Back,Taylor Dayne,1990, New York,US
29,Don't Wanna Fall in Love,Jane Child,1990, Canada,Canada
30,Two to Make It Right,Seduction,1990, U.S.,US
31,Sending All My Love,Linear,1990, Florida,US
32,Unskinny Bop,Poison,1990, U.S.,US
33,Step by Step,New Kids on the Block,1990, U.S.,US
34,Dangerous,Roxette,1990, Sweden,Sweden
35,We Didn't Start the Fire,Billy Joel,1990, U.S.,US
36,I Don't Have the Heart,James Ingram,1990, U.S.,US
37,Downtown Train,Rod Stewart,1990, England,UK
38,Rhythm Nation,Janet Jackson,1990, U.S.,US
39,I'll Be Your Everything,Tommy Page,1990, U.S.,US
40,Roam,The B-52s,1990, United States,US
41,Everything,Jody Watley,1990, United States,US
42,Back to Life (However Do You Want Me),Soul II Soul,1990, United Kingdom,UK
43,Here and Now,Luther Vandross,1990, U.S.,US
44,Alright,Janet Jackson,1990, U.S.,US
45,Ice Ice Baby,Vanilla Ice,1990, Florida (residence),US
46,Blame It on the Rain,Milli Vanilli,1990, West Germany,Germany
47,Have You Seen Her,MC Hammer,1990, California,US
48,With Every Beat of My Heart,Taylor Dayne,1990, New York,US
49,Come Back to Me,Janet Jackson,1990, U.S.,US
50,No More Lies,Michel'le,1990, United States,US
51,Praying for Time,George Michael,1990, England,UK
52,How Can We Be Lovers,Michael Bolton,1990, U.S.,US
53,Do You Remember,Phil Collins,1990, United Kingdom,UK
54,Ready or Not,After 7,1990, U.S.,US
55,U Can't Touch This,MC Hammer,1990, California,US
56,I Wish It Would Rain Down,Phil Collins,1990, United Kingdom,UK
57,Just Between You and Me,Lou Gramm,1990, United States,US
58,Something Happened on the Way to Heaven,Phil Collins,1990, United Kingdom,UK
59,Black Cat,Janet Jackson,1990, U.S.,US
60,Can't Stop,After 7,1990, U.S.,US
61,Janie's Got a Gun,Aerosmith,1990, United States,US
62,The Humpty Dance,Digital Underground,1990, U.S.,US
63,I'll Be Your Shelter,Taylor Dayne,1990, New York,US
64,Free Fallin',Tom Petty,1990, U.S.,US
65,Giving You the Benefit,Pebbles,1990, U.S.,US
66,Enjoy the Silence,Depeche Mode,1990, United Kingdom,UK
67,Love Song,Tesla,1990, U.S.,US
68,Price of Love,Bad English,1990, U.S.,US
69,"""Girls Nite Out""",Tyler Collins,1990, New York,US
70,King of Wishful Thinking,Go West,1990, England,UK
71,What Kind of Man Would I Be?,Chicago,1990, United States,US
72,I Remember You,Skid Row,1990, United States,US
73,Get Up! (Before the Night Is Over),Technotronic,1990, Belgium,Belgium
74,Here We Are,Gloria Estefan,1990, U.S.,US
75,Epic,Faith No More,1990, United States,US
76,Love Takes Time,Mariah Carey,1990, U.S.,US
77,Just Like Jesse James,Cher,1990, U.S.,US
78,Love Shack,The B-52s,1990, United States,US
79,All or Nothing,Milli Vanilli,1990, West Germany,Germany
80,Romeo,Dino,1990, US,US
81,Everybody Everybody,Black Box,1990,Italy,Italy
82,I Go to Extremes,Billy Joel,1990, U.S.,US
83,Whip Appeal,Babyface,1990, U.S.,US
84,Oh Girl,Paul Young,1990, England,UK
85,C'mon and Get My Love,D Mob,1990, England,UK
86,(It's Just) The Way That You Love Me,Paula Abdul,1990, U.S.,US
87,"""We Can't Go Wrong""",The Cover Girls,1990, United States,US
88,When I'm Back on My Feet Again,Michael Bolton,1990, U.S.,US
89,Make You Sweat,Keith Sweat,1990, New York,US
90,This One's for the Children,New Kids on the Block,1990, U.S.,US
91,What It Takes,Aerosmith,1990, United States,US
92,Forever,Kiss,1990, U.S.,US
93,Jerk Out,The Time,1990, United States,US
94,Just a Friend,Biz Markie,1990, U.S.,US
95,"""Whole Wide World""",A'Me Lorain,1990,[],
96,Without You,MÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂ¶tley CrÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂ¼e,1990, U.S.,US
97,Swing the Mood,Jive Bunny and the Mastermixers,1990, England,UK
98,Thieves in the Temple,Prince,1990, U.S.,US
99,Mentirosa,Mellow Man Ace,1990, US,US
100,"""Tic-Tac-Toe""",Kyper,1990, U.S.,US
1,(Everything I Do) I Do It for You,Bryan Adams,1991, Canada,Canada
2,I Wanna Sex You Up,Color Me Badd,1991, United States,US
3,Gonna Make You Sweat (Everybody Dance Now),C+C Music Factory,1991, US,US
4,Rush Rush,Paula Abdul,1991, U.S.,US
5,One More Try,Timmy T,1991, California,US
6,Unbelievable,EMF,1991, England,UK
7,More Than Words,Extreme,1991, United States,US
8,I Like the Way (The Kissing Game),Hi-Five,1991, United States,US
9,The First Time,Surface,1991,New Jersey Connecticut United States,US
10,Baby Baby,Amy Grant,1991, U.S.,US
11,Motownphilly,Boyz II Men,1991, United States,US
12,Because I Love You (The Postman Song),Stevie B,1991, U.S,US
13,Someday,Mariah Carey,1991, U.S.,US
14,High Enough,Damn Yankees,1991, U.S.,US
15,From a Distance,Bette Midler,1991, Territory of Hawaii,US
16,All the Man That I Need,Whitney Houston,1991, U.S.,US
17,"Right Here, Right Now",Jesus Jones,1991, England,UK
18,I Adore Mi Amor,Color Me Badd,1991, United States,US
19,Love Will Never Do (Without You),Janet Jackson,1991, U.S.,US
20,Good Vibrations,Marky Mark and the Funky Bunch,1991, U.S.,US
21,Justify My Love,Madonna,1991, U.S.,US
22,Emotions,Mariah Carey,1991, U.S.,US
23,Joyride,Roxette,1991, Sweden,Sweden
24,Romantic,Karyn White,1991, U.S.,US
25,Hold You Tight,Tara Kemp,1991, California,US
26,I Don't Wanna Cry,Mariah Carey,1991, U.S.,US
27,You're in Love,Wilson Phillips,1991, U.S.,US
28,Every Heartbeat,Amy Grant,1991, U.S.,US
29,Sensitivity,Ralph Tresvant,1991, US,US
30,Touch Me (All Night Long),Cathy Dennis,1991, England,UK
31,I've Been Thinking About You,Londonbeat,1991, England,UK
32,Do Anything,Natural Selection,1991, Minnesota,US
33,Losing My Religion,R.E.M.,1991, United States,US
34,Coming Out of the Dark,Gloria Estefan,1991, U.S.,US
35,It Ain't Over 'til It's Over,Lenny Kravitz,1991, U.S.,US
36,Here We Go,C+C Music Factory,1991, US,US
37,Where Does My Heart Beat Now,Celine Dion,1991, Canada,Canada
38,Summertime,DJ Jazzy Jeff &amp; The Fresh Prince,1991, U.S.,US
39,Wind of Change,Scorpions,1991, West Germany,Germany
40,P.A.S.S.I.O.N.,Rythm Syndicate,1991, U.S.,US
41,The Promise of a New Day,Paula Abdul,1991, U.S.,US
42,I'm Your Baby Tonight,Whitney Houston,1991, U.S.,US
43,Love of a Lifetime,FireHouse,1991, U.S.,US
44,Fading Like a Flower (Every Time You Leave),Roxette,1991, Sweden,Sweden
45,This House,Tracie Spencer,1991, U.S.,US
46,Hole Hearted,Extreme,1991, United States,US
47,Power of Love/Love Power,Luther Vandross,1991, U.S.,US
48,Impulsive,Wilson Phillips,1991, U.S.,US
49,Love Is a Wonderful Thing,Michael Bolton,1991, U.S.,US
50,Rhythm of My Heart,Rod Stewart,1991, England,UK
51,Things That Make You Go Hmmm...,C+C Music Factory,1991, US,US
52,I Touch Myself,Divinyls,1991, Australia,Australia
53,Tom's Diner,DNA,1991, England,UK
54,Iesha,Another Bad Creation,1991, Georgia[1][2]United States,US
55,Something to Talk About,Bonnie Raitt,1991, U.S.,US
56,After the Rain,Nelson,1991, United States,US
57,Play That Funky Music,Vanilla Ice,1991, Florida (residence),US
58,Temptation,Corina,1991, U.S.,US
59,Can't Stop This Thing We Started,Bryan Adams,1991, Canada,Canada
60,I Can't Wait Another Minute,Hi-Five,1991, United States,US
61,3 a.m. Eternal,The KLF,1991, England,UK
62,"Time, Love and Tenderness",Michael Bolton,1991, U.S.,US
63,Sadeness (Part I),Enigma,1991,Germany[1],Germany
64,Around the Way Girl,LL Cool J,1991, U.S.,US
65,I'll Be There,The Escape Club,1991, England,UK
66,Cream,Prince,1991, U.S.,US
67,Now That We Found Love,Heavy D &amp; the Boyz,1991, United States,US
68,Show Me the Way,Styx,1991, United States,US
69,Love Takes Time,Mariah Carey,1991, U.S.,US
70,Cry for Help,Rick Astley,1991, England,UK
71,The Way You Do the Things You Do,UB40,1991, England,UK
72,Here I Am (Come and Take Me),UB40,1991, England,UK
73,Signs,Tesla,1991, U.S.,US
74,Too Many Walls,Cathy Dennis,1991, England,UK
75,Crazy,Seal,1991, England,UK
76,I'll Give All My Love to You,Keith Sweat,1991, New York,US
77,Place in this World,Michael W. Smith,1991, U.S.,US
78,Something to Believe In,Poison,1991, U.S.,US
79,Wicked Game,Chris Isaak,1991, U.S.,US
80,Get Here,Oleta Adams,1991, United States,US
81,Round and Round,Tevin Campbell,1991,Texas,US
82,Silent Lucidity,QueensrÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂ¿che,1991, United States,US
83,I'm Not In Love,Will to Power,1991,German,Germany
84,Piece of My Heart,Tara Kemp,1991, California,US
85,Real Real Real,Jesus Jones,1991, England,UK
86,Everybody Plays the Fool,Aaron Neville,1991, United States,US
87,Just Another Dream,Cathy Dennis,1991, England,UK
88,Strike It Up,Black Box,1991,Italy,Italy
89,Rico Suave,Gerardo,1991, California,US
90,Disappear,INXS,1991, Australia,Australia
91,Groove Is in the Heart,Deee-Lite,1991, U.S.,US
92,All This Time,Sting,1991, England,UK
93,The One and Only,Chesney Hawkes,1991, England,UK
94,O.P.P.,Naughty by Nature,1991, United States,US
95,Freedom 90,George Michael,1991, England,UK
96,I Saw Red,Warrant,1991, United States,US
97,Miles Away,Winger,1991, U.S.,US
98,Do You Want Me,Salt-n-Pepa,1991, U.S.,US
99,The Motown Song,Rod Stewart,1991, England,UK
100,Shiny Happy People,R.E.M.,1991, United States,US
1,End of the Road,Boyz II Men,1992, United States,US
2,Baby Got Back,Sir Mix-a-Lot,1992, U.S.,US
3,Jump,Kris Kross,1992, United States,US
4,Save the Best for Last,Vanessa Williams,1992, U.S.,US
5,Baby-Baby-Baby,TLC,1992, United States,US
6,Tears in Heaven,Eric Clapton,1992, England,UK
7,My Lovin' (You're Never Gonna Get It),En Vogue,1992, U.S.,US
8,Under the Bridge,Red Hot Chili Peppers,1992, U.S.,US
9,All 4 Love,Color Me Badd,1992, United States,US
10,Just Another Day,Jon Secada,1992, U.S.,US
11,I Love Your Smile,Shanice,1992, U.S.,US
12,To Be with You,Mr. Big,1992, United States,US
13,I'm Too Sexy,Right Said Fred,1992, United Kingdom,UK
14,Black or White,Michael Jackson,1992, U.S.,US
15,Achy Breaky Heart,Billy Ray Cyrus,1992, U.S.,US
16,I'll Be There,Mariah Carey,1992, U.S.,US
17,November Rain,Guns N' Roses,1992, U.S.,US
18,Life Is a Highway,Tom Cochrane,1992, Canada,Canada
19,Remember the Time,Michael Jackson,1992, U.S.,US
20,Finally,CeCe Peniston,1992, U.S.,US
21,This Used to Be My Playground,Madonna,1992, U.S.,US
22,Sometimes Love Just Ain't Enough,Patty Smyth,1992, U.S.,US
23,Can't Let Go,Mariah Carey,1992, U.S.,US
24,Jump Around,House of Pain,1992, U.S.,US
25,Diamonds and Pearls,Prince,1992, U.S.,US
26,Don't Let the Sun Go Down on Me,George Michael,1992, England,UK
27,Masterpiece,Atlantic Starr,1992, New York,US
28,If You Asked Me To,Celine Dion,1992, Canada,Canada
29,Giving Him Something He Can Feel,En Vogue,1992, U.S.,US
30,Live and Learn,Joe Public,1992, United States,US
31,Come and Talk to Me,Jodeci,1992, United States,US
32,Smells Like Teen Spirit,Nirvana,1992, U.S.,US
33,Humpin' Around,Bobby Brown,1992, U.S.,US
34,Damn I Wish I Was Your Lover,Sophie B. Hawkins,1992, United States,US
35,Tell Me What You Want Me to Do,Tevin Campbell,1992,Texas,US
36,Ain't 2 Proud 2 Beg,TLC,1992, United States,US
37,It's So Hard to Say Goodbye to Yesterday,Boyz II Men,1992, United States,US
38,Move This,Technotronic,1992, Belgium,Belgium
39,Bohemian Rhapsody,Queen,1992, England,UK
40,Tennessee,Arrested Development,1992, United States,US
41,The Best Things in Life Are Free,Luther Vandross,1992, U.S.,US
42,Make It Happen,Mariah Carey,1992, U.S.,US
43,The One,Elton John,1992, England,UK
44,Set Adrift on Memory Bliss,P.M. Dawn,1992, United States,US
45,Stay,Shakespears Sister,1992, England,UK
46,2 Legit 2 Quit,Hammer,1992, California,US
47,Please Don't Go,KWS,1992, England,UK
48,Breakin' My Heart (Pretty Brown Eyes),Mint Condition,1992, U.S.,US
49,Wishing on a Star,The Cover Girls,1992, United States,US
50,"""She's Playing Hard to Get""",Hi-Five,1992, United States,US
51,I'd Die Without You,P.M. Dawn,1992, United States,US
52,Good for Me,Amy Grant,1992, U.S.,US
53,All I Want,Toad the Wet Sprocket,1992, US,US
54,When a Man Loves a Woman,Michael Bolton,1992, U.S.,US
55,I Can't Dance,Genesis,1992, England,UK
56,Hazard,Richard Marx,1992, U.S.,US
57,Mysterious Ways,U2,1992, Ireland,Ireland
58,Too Funky,George Michael,1992, England,UK
59,How Do You Talk to an Angel,The Heights,1992, U.S.,US
60,One,U2,1992, Ireland,Ireland
61,Keep on Walkin',CeCe Peniston,1992, U.S.,US
62,Hold on My Heart,Genesis,1992, England,UK
63,"""The Way I Feel About You""",Karyn White,1992, U.S.,US
64,Beauty and the Beast,Celine Dion,1992, Canada,Canada
65,Warm It Up,Kris Kross,1992, United States,US
66,In the Closet,Michael Jackson,1992, U.S.,US
67,People Everyday,Arrested Development,1992, United States,US
68,No Son of Mine,Genesis,1992, England,UK
69,Wildside,Marky Mark and the Funky Bunch,1992, U.S.,US
70,Do I Have to Say the Words?,Bryan Adams,1992, Canada,Canada
71,Friday I'm in Love,The Cure,1992, England,UK
72,Everything About You,Ugly Kid Joe,1992, United States,US
73,Blowing Kisses in the Wind,Paula Abdul,1992, U.S.,US
74,Thought I'd Died and Gone to Heaven,Bryan Adams,1992, Canada,Canada
75,Rhythm Is a Dancer,Snap!,1992, Germany,Germany
76,Addams Groove,Hammer,1992, California,US
77,Missing You Now,Michael Bolton,1992, U.S.,US
78,"""Back to the Hotel""",N2Deep,1992, California,US
