rank,song,artist,year,nationality,country
49,Finger Poppin' Time,Hank Ballard,1960, US,US
50,Harbor Lights,The Platters,1960, United States,US
51,"""Let the Little Girl Dance""",Billy Bland,1960, United States,US
52,He'll Have to Stay,Jeanne Black,1960, U.S.,US
53,"""Theme From The Apartment""",Ferrante &amp; Teicher,1960, U.S.,US
54,Volare,Bobby Rydell,1960, United States,US
55,A Million to One,Jimmy Charles,1960, U.S.,US
56,The Village of St. Bernadette,Andy Williams,1960, U.S.,US
57,White Silver Sands,Bill Black's Combo,1960, Tennessee,US
58,The Old Lamp-Lighter,The Browns,1960, United States,US
59,Devil or Angel,Bobby Vee,1960, U.S.,US
60,Down by the Station,The Four Preps,1960, United States,US
61,Forever,The little Dippers,1960, U.S.,US
62,Image of a Girl,The Safaris,1960, United States,US
63,Kiddio,Brook Benton,1960, U.S.,US
64,"""Mission Bell""",Donnie Brooks,1960, United States,US
65,I Love the Way You Love,Marv Johnson,1960, U.S.,US
66,"""It's Time to Cry""",Paul Anka,1960, Canada,Canada
67,Tell Laura I Love Her,Ray Peterson,1960, U.S.,US
68,Mama,Connie Francis,1960, U.S.,US
69,Footsteps,Steve Lawrence,1960, U.S.,US
70,So Sad,The Everly Brothers,1960, Iowa,US
71,That's All You Gotta Do,Brenda Lee,1960, US,US
72,Walking to New Orleans,Fats Domino,1960, U.S.,US
73,Among My Souvenirs,Connie Francis,1960, U.S.,US
74,Swingin' School,Bobby Rydell,1960, United States,US
75,A Rockin' Good Way (To Mess Around and Fall in Love),Dinah Washington,1960, U.S.,US
76,Stairway to Heaven,Neil Sedaka,1960, United States,US
77,"""My Home Town""",Paul Anka,1960, Canada,Canada
78,Georgia on My Mind,Ray Charles,1960, U.S.[1],US
79,Cherry Pie,Skip and Flip,1960, U.S.,US
80,Wonderful World,Sam Cooke,1960, U.S.,US
81,Tracy's Theme,Spencer Ross,1960, U.S.,US
82,"""Lady Luck""",Lloyd Price,1960, U.S.,US
83,"""Step by Step""",The Crests,1960, United States,US
84,"""Happy-Go-Lucky Me""",Paul Evans,1960, U.S.,US
85,Young Emotions,Ricky Nelson,1960, U.S.,US
86,Dreamin',Johnny Burnette,1960, United States,US
87,Poetry in Motion,Johnny Tillotson,1960, United States,US
88,"""O Dio Mio""",Annette Funicello,1960, U.S.,US
89,You Talk Too Much,Joe Jones,1960, United States,US
90,Beatnik Fly,Johnny and the Hurricanes,1960, U.S.,US
91,When Will I Be Loved,The Everly Brothers,1960, Iowa,US
92,"""Let's Think About Livin""",Bob Luman,1960, Texas,US
93,Heartaches by the Number,Guy Mitchell,1960, U.S.,US
94,My Little Corner of the World,Anita Bryant,1960, U.S.,US
95,Doggin' Around,Jackie Wilson,1960, U.S.,US
96,Little Bitty Girl,Bobby Rydell,1960, United States,US
97,Money (That's What I Want),Barrett Strong,1960, U.S.,US
98,Stay,Maurice Williams and the Zodiacs,1960, USA,US
99,"""Lonely Weekends""",Charlie Rich,1960, United States,US
100,"""Sandy""",Larry Hall,1960, U.S.,US
1,Tossin' and Turnin',Bobby Lewis,1961, U.S.,US
2,I Fall to Pieces,Patsy Cline,1961, U.S.,US
3,Michael,The Highwaymen,1961, U.S.,US
4,Crying,Roy Orbison,1961, U.S.,US
5,Runaway,Del Shannon,1961, United States,US
6,My True Story,The Jive Five,1961, U.S.,US
7,Pony Time,Chubby Checker,1961, U.S.,US
8,Wheels,The String-A-Longs,1961, U.S.,US
9,Raindrops,Dee Clark,1961, U.S.,US
10,Wooden Heart,Joe Dowell,1961, U.S.,US
11,Calcutta,Lawrence Welk,1961, U.S.,US
12,Take Good Care of My Baby,Bobby Vee,1961, U.S.,US
13,Running Scared,Roy Orbison,1961, U.S.,US
14,Dedicated to the One I Love,The Shirelles,1961, US,US
15,Last Night,The Mar-Keys,1961, U.S.,US
16,Will You Love Me Tomorrow,The Shirelles,1961, US,US
17,"""Exodus""",Ferrante &amp; Teicher,1961, U.S.,US
18,Where the Boys Are,Connie Francis,1961, U.S.,US
19,Hit the Road Jack,Ray Charles,1961, U.S.[1],US
20,Sad Movies (Make Me Cry),Sue Thompson,1961, United States,US
21,Mother-in-Law,Ernie K-Doe,1961, U.S.,US
22,Bristol Stomp,The Dovells,1961, U.S.,US
23,Travelin' Man,Ricky Nelson,1961, U.S.,US
24,Shop Around,The Miracles,1961, United States,US
25,The Boll Weevil Song,Brook Benton,1961, U.S.,US
26,A Hundred Pounds of Clay,Gene McDaniels,1961, United States,US
27,The Mountain's High,Dick and Dee Dee,1961,United States,US
28,Don't Worry,Marty Robbins,1961, U.S.,US
29,On the Rebound,Floyd Cramer,1961, United States,US
30,Portrait of My Love,Steve Lawrence,1961, U.S.,US
31,Quarter to Three,Gary U.S. Bonds,1961, FloridaUnited States,US
32,"Who Put the Bomp (in the Bomp, Bomp, Bomp)",Barry Mann,1961, New York City,US
33,Calendar Girl,Neil Sedaka,1961, United States,US
34,I Like It Like That,Chris Kenner,1961, United States,US
35,Apache,JÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂ¸rgen Ingmann,1961, Denmark,Denmark
36,Don't Bet Money Honey,Linda Scott,1961, U.S.,US
37,Without You,Johnny Tillotson,1961, United States,US
38,Wings of a Dove,Ferlin Husky,1961, U.S.),US
39,Little Sister,Elvis Presley,1961, U.S.,US
40,Blue Moon,The Marcels,1961, Pennsylvania,US
41,Daddy's Home,Shep and the Limelites,1961, U.S.,US
42,This Time,Troy Shondell,1961, U.S.,US
43,(I Don't Know Why) But I Do,"Clarence ""Frogman"" Henry",1961, Louisiana,US
44,Asia Minor,Kokomo,1961, United States,US
45,Hello Walls,Faron Young,1961, U.S.,US
46,Runaround Sue,Dion,1961, U.S.,US
